id,homeAbbrev,awayAbbrev,est
2024020503,CHI,WSH,2024 December 17 20:30:00
2024020504,CGY,BOS,2024 December 17 21:00:00
2024020505,SEA,OTT,2024 December 17 22:00:00
2024020506,SJS,WPG,2024 December 17 22:30:00
2024020507,DET,PHI,2024 December 18 19:00:00
2024020508,DAL,TOR,2024 December 18 19:30:00
2024020509,MIN,FLA,2024 December 18 21:30:00
2024020510,UTA,VAN,2024 December 18 22:00:00
2024020511,ANA,WPG,2024 December 18 22:00:00
2024020512,TBL,STL,2024 December 19 19:00:00
2024020513,PHI,LAK,2024 December 19 19:30:00
2024020514,CBJ,NJD,2024 December 19 19:00:00
2024020515,NSH,PIT,2024 December 19 20:00:00
2024020516,CHI,SEA,2024 December 19 20:30:00
2024020517,CGY,OTT,2024 December 19 21:00:00
2024020518,EDM,BOS,2024 December 19 21:00:00
2024020519,VGK,VAN,2024 December 19 22:00:00
2024020520,SJS,COL,2024 December 19 22:30:00
2024020521,BUF,TOR,2024 December 20 19:00:00
2024020522,DET,MTL,2024 December 20 19:00:00
2024020523,FLA,STL,2024 December 20 19:00:00
2024020524,WSH,CAR,2024 December 20 19:00:00
2024020525,DAL,NYR,2024 December 20 20:00:00
2024020526,MIN,UTA,2024 December 20 20:00:00
2024020527,ANA,COL,2024 December 20 22:00:00
2024020528,NSH,LAK,2024 December 21 13:30:00
2024020529,CGY,CHI,2024 December 21 16:00:00
2024020530,EDM,SJS,2024 December 21 16:00:00
2024020531,BOS,BUF,2024 December 21 19:00:00
2024020532,TOR,NYI,2024 December 21 19:00:00
2024020533,MTL,DET,2024 December 21 19:00:00
2024020534,NJD,PIT,2024 December 21 19:00:00
2024020535,PHI,CBJ,2024 December 21 19:00:00
2024020536,WPG,MIN,2024 December 21 19:00:00
